原始微博内容,发布日期,博主输入月份,博主输入日,博主输入星期,上海,深圳,北京,长沙,武汉,广州,苏州,郑州,南京,成都,西安,重庆
#地铁客流排行榜# 11月4日（周五），北京地铁路网客运量1267.86万，上海地铁客运量1130.9万，广州地铁客运量812.5万，深圳地铁路网客运量458.85万（7-28.9、9-17.9、11-26.3），南京地铁客运量286.5万，武汉地铁客运量231.61万，成都地铁客运量210.39万，西安地铁客运量127.15万。深圳创新高。,2016/11/5,11,4,周五,1130.9,458.85,1267.86, ,231.61,812.5, , ,286.5,210.39,127.15, 
#地铁客流排行榜# 11月3日（周四），北京地铁路网客运量1184.67万，上海地铁客运量1068万，广州地铁客运量724.1万，深圳地铁路网客运量423.37万（7-26.9、9-16.4、11-24.2），南京地铁客运量247.7万，武汉地铁客运量205.67万，成都地铁客运量186.64万，西安地铁客运量105.97万。,2016/11/4,11,3,周四,1068,423.37,1184.67, ,205.67,724.1, , ,247.7,186.64,105.97, 
#地铁客流排行榜# 11月2日（周三），北京地铁路网客运量1184.89万，上海地铁客运量1069万，广州地铁客运量726.2万，深圳地铁路网客运量424.71万（7-26.7、9-16.2、11-24.4），南京地铁客运量244.1万，武汉地铁客运量203.44万，成都地铁客运量187.33万，西安地铁客运量105.14万。,2016/11/3,11,2,周三,1069,424.71,1184.89, ,203.44,726.2, , ,244.1,187.33,105.14, 
#地铁客流排行榜# 11月1日（周二），北京地铁路网客运量1185.56万，上海地铁客运量1062万，广州地铁客运量739.7万，深圳地铁路网客运量426.38万（7-27.1、9-16.2、11-24.2），南京地铁客运量241.1万，武汉地铁客运量204.14万，成都地铁客运量186.09万，西安地铁客运量105.63万。,2016/11/2,11,1,周二,1062,426.38,1185.56, ,204.14,739.7, , ,241.1,186.09,105.63, 
#地铁客流排行榜# 10月31日（周一），北京地铁路网客运量1174.72万，上海地铁客运量1034.8万，广州地铁客运量751.1万，深圳地铁路网客运量451.21万（7-28.1、9-17、11-26.8），南京地铁客运量223.7万，武汉地铁客运量199.65万，成都地铁客运量192.21万，西安地铁客运量109.89万。深圳客运量创历史新高。,2016/11/1,10,31,周一,1034.8,451.21,1174.72, ,199.65,751.1, , ,223.7,192.21,109.89, 
#地铁客流排行榜# 10月30日（周日），北京地铁路网客运量804.01万，上海地铁客运量764万，广州地铁客运量750.4万，深圳地铁路网客运量420.39万（7-27.8、9-19.3、11-29.1），南京地铁客运量228.9万，武汉地铁客运量200.47万，成都地铁客运量162.41万，西安地铁客运量119.66万。,2016/10/31,10,30,周日,764,420.39,804.01, ,200.47,750.4, , ,228.9,162.41,119.66, 
#地铁客流排行榜# 10月29日（周六），北京地铁路网客运量887.36万，上海地铁客运量807万，广州地铁客运量764.5万，深圳地铁路网客运量417.86万（7-28.37、9-18.68），南京地铁客运量232.3万，武汉地铁客运量186.83万，成都地铁客运量178.74万，西安地铁客运量129.46万。,2016/10/30,10,29,周六,807,417.86,887.36, ,186.83,764.5, , ,232.3,178.74,129.46, 
#地铁客流排行榜# 10月26日（周六），北京地铁路网客运量887.36万，上海地铁客运量807万，广州地铁客运量764.5万，深圳地铁路网客运量417.86万（7-28.37、9-18.68），南京地铁客运量232.3万，武汉地铁客运量186.83万，成都地铁客运量178.74万，西安地铁客运量129.46万。,2016/10/30,10,26,周六,807,417.86,887.36, ,186.83,764.5, , ,232.3,178.74,129.46, 
#地铁客流排行榜# 10月28日（周五），北京地铁路网客运量1282.78万，上海地铁客运量1122.8万，广州地铁客运量792.6万，深圳地铁路网客运量450.69万，南京地铁客运量261.7万，武汉地铁客运量224.09万，成都地铁客运量211.14万，西安地铁客运量128.53万。深圳因新线开通客运量创新高。,2016/10/29,10,28,周五,1122.8,450.69,1282.78, ,224.09,792.6, , ,261.7,211.14,128.53, 
#地铁客流排行榜# 10月28日（周五），北京地铁路网客运量1282.78万，上海地铁客运量1122.8万，广州地铁客运量792.6万，深圳地铁路网客运量450.69万，南京地铁客运量261.7万，武汉地铁客运量224.09万，成都地铁客运量211.14万。深圳因新线开通客运量创新高。,2016/10/29,10,28,周五,1122.8,450.69,1282.78, ,224.09,792.6, , ,261.7,211.14, , 
#地铁客流排行榜# 10月27日（周四），北京地铁路网客运量1196.99万，上海地铁客运量1038.6万，广州地铁客运量721.7万，深圳地铁路网客运量382.62万，南京地铁客运量215.1万，武汉地铁客运量198.71万，成都地铁客运量183.48万，西安地铁客运量101.7万。,2016/10/28,10,27,周四,1038.6,382.62,1196.99, ,198.71,721.7, , ,215.1,183.48,101.7, 
#地铁客流排行榜# 10月26日（周三），北京地铁路网客运量1212.5万，上海地铁客运量1008.3万，广州地铁客运量723.4万，深圳地铁路网客运量365.83万，南京地铁客运量213.3万，武汉地铁客运量192.39万，成都地铁客运量185.41万，西安地铁客运量103.95万。,2016/10/27,10,26,周三,1008.3,365.83,1212.5, ,192.39,723.4, , ,213.3,185.41,103.95, 
#地铁客流排行榜# 10月25日（周二），北京地铁路网客运量1213.89万，上海地铁客运量1061.3万，广州地铁客运量726.2万，深圳地铁路网客运量383.33万，南京地铁客运量236万，武汉地铁客运量198.33万，成都地铁客运量187.5万，西安地铁客运量104.93万。,2016/10/26,10,25,周二,1061.3,383.33,1213.89, ,198.33,726.2, , ,236,187.5,104.93, 
#地铁客流排行榜# 10月24日（周一），北京地铁路网客运量1212.71万，上海地铁客运量1055万，广州地铁客运量722.8万，深圳地铁路网客运量385.83万，南京地铁客运量236.4万，武汉地铁客运量202.74万，成都地铁客运量188.8万，西安地铁客运量103.86万。,2016/10/25,10,24,周一,1055,385.83,1212.71, ,202.74,722.8, , ,236.4,188.8,103.86, 
#地铁客流排行榜# 10月23日（周日），北京地铁路网客运量858.17万，上海地铁客运量718.5万，广州地铁客运量708.3万，深圳地铁路网客运量335.96万，南京地铁客运量213.4万，武汉地铁客运量200.55万，成都地铁客运量163.52万，西安地铁客运量112.15万。,2016/10/24,10,23,周日,718.5,335.96,858.17, ,200.55,708.3, , ,213.4,163.52,112.15, 
#地铁客流排行榜# 10月22日（周六），北京地铁路网客运量901.84万，广州地铁客运量717.4万，上海地铁客运量651.2万，深圳地铁路网客运量344.44万，南京地铁客运量209万，武汉地铁客运量202.44万，成都地铁客运量175.96万，西安地铁客运量116.04万。,2016/10/23,10,22,周六,651.2,344.44,901.84, ,202.44,717.4, , ,209,175.96,116.04, 
#地铁客流排行榜# 10月21日（周五），北京地铁路网客运量1301.87万，上海地铁客运量1065万，广州地铁客运量663.2万，南京地铁客运量258.7万，武汉地铁客运量222.04万，成都地铁客运量210.04万，深圳地铁路网客运量146.18万，西安地铁客运量119.54万。,2016/10/22,10,21,周五,1065,146.18,1301.87, ,222.04,663.2, , ,258.7,210.04,119.54, 
#地铁客流排行榜# 10月20日（周四），北京地铁路网客运量1204.55万，上海地铁客运量1037万，广州地铁客运量728.2万，深圳地铁路网客运量370.89万，南京地铁客运量225.8万，武汉地铁客运量186.17万，成都地铁客运量180.98万，西安地铁客运量107.96万。,2016/10/21,10,20,周四,1037,370.89,1204.55, ,186.17,728.2, , ,225.8,180.98,107.96, 
#地铁客流排行榜# 10月19日（周三），北京地铁路网客运量1204.66万，上海地铁客运量1060.6万，广州地铁客运量681.5万，深圳地铁路网客运量340.89万，南京地铁客运量235.9万，武汉地铁客运量199.3万，成都地铁客运量182.94万，西安地铁客运量104.67万。,2016/10/20,10,19,周三,1060.6,340.89,1204.66, ,199.3,681.5, , ,235.9,182.94,104.67, 
#地铁客流排行榜# 10月18日（周二），北京地铁路网客运量1207.45万，上海地铁客运量1064万，广州地铁客运量665.4万，深圳地铁路网客运量333.58万，南京地铁客运量234.2万，武汉地铁客运量199.18万，成都地铁客运量188.12万，西安地铁客运量104.51万。,2016/10/19,10,18,周二,1064,333.58,1207.45, ,199.18,665.4, , ,234.2,188.12,104.51, 
#地铁客流排行榜# 10月17日（周一），北京地铁路网客运量1220.37万，上海地铁客运量1052.7万，广州地铁客运量740.3万，深圳地铁路网客运量376.66万，南京地铁客运量236.7万，武汉地铁客运量203.74万，成都地铁客运量191.1万，西安地铁客运量108.19万。,2016/10/18,10,17,周一,1052.7,376.66,1220.37, ,203.74,740.3, , ,236.7,191.1,108.19, 
#地铁客流排行榜# 10月16日（周日），北京地铁路网客运量823.58万，上海地铁客运量742.4万，广州地铁客运量742.3万，深圳地铁路网客运量353.98万，南京地铁客运量252.2万，武汉地铁客运量204.52万，成都地铁客运量164.91万，西安地铁客运量119.39万。,2016/10/17,10,16,周日,742.4,353.98,823.58, ,204.52,742.3, , ,252.2,164.91,119.39, 
#地铁客流排行榜# 10月15日（周六），北京地铁路网客运量836.58万，上海地铁客运量808.4万，广州地铁客运量783.6万，深圳地铁路网客运量358.52万，南京地铁客运量248.2万，武汉地铁客运量219万，成都地铁客运量181.23万，西安地铁客运量129.21万。,2016/10/16,10,15,周六,808.4,358.52,836.58, ,219,783.6, , ,248.2,181.23,129.21, 
#地铁客流排行榜# 10月14日（周五），北京地铁路网客运量1242.11万，上海地铁客运量1098.3万，广州地铁客运量798.3万，深圳地铁路网客运量407.6万，南京地铁客运量259.8万，武汉地铁客运量221万，成都地铁客运量207.98万，西安地铁客运量124.34万。,2016/10/15,10,14,周五,1098.3,407.6,1242.11, ,221,798.3, , ,259.8,207.98,124.34, 
#地铁客流排行榜# 10月13日（周四），北京地铁路网客运量1191.96万，上海地铁客运量1043.7万，广州地铁客运量721.6万，深圳地铁路网客运量371.47万，南京地铁客运量227.2万，武汉地铁客运量194.57万，成都地铁客运量184.46万，西安地铁客运量103.63万。,2016/10/14,10,13,周四,1043.7,371.47,1191.96, ,194.57,721.6, , ,227.2,184.46,103.63, 
#地铁客流排行榜# 10月12日（周三），北京地铁路网客运量1181.37万，上海地铁客运量1054万，广州地铁客运量698.7万，深圳地铁路网客运量379万，南京地铁客运量231.2万，武汉地铁客运量192.15万，成都地铁客运量181.97万，西安地铁客运量101.55万。,2016/10/13,10,12,周三,1054,379,1181.37, ,192.15,698.7, , ,231.2,181.97,101.55, 
#地铁客流排行榜# 10月11日（周二），北京地铁路网客运量1176.7万，上海地铁客运量1048.6万，广州地铁客运量709.1万，深圳地铁路网客运量377.21万，南京地铁客运量229.6万，武汉地铁客运量196.7万，成都地铁客运量184.47万，西安地铁客运量103.29万。,2016/10/12,10,11,周二,1048.6,377.21,1176.7, ,196.7,709.1, , ,229.6,184.47,103.29, 
#地铁客流排行榜# 10月10日（周一），北京地铁路网客运量1172.44万，上海地铁客运量1036.4万，广州地铁客运量714.6万，深圳地铁路网客运量380.11万，南京地铁客运量232.4万，武汉地铁客运量200.6万，成都地铁客运量183.65万，西安地铁客运量104.37万。,2016/10/11,10,10,周一,1036.4,380.11,1172.44, ,200.6,714.6, , ,232.4,183.65,104.37, 
#地铁客流排行榜# 10月9日（周日，上班），北京地铁路网客运量1110.88万，上海地铁客运量975.1万，广州地铁客运量715.7万，深圳地铁路网客运量378.18万，南京地铁客运量236.5万，武汉地铁客运量203.4万，成都地铁客运量178.32万，西安地铁客运量101.98万。,2016/10/10,10,9,周日，上班,975.1,378.18,1110.88, ,203.4,715.7, , ,236.5,178.32,101.98, 
#地铁客流排行榜# 10月8日（周六，上班），北京地铁路网客运量1079.18万，上海地铁客运量919.7万，广州地铁客运量696.8万，深圳地铁路网客运量357.56万，南京地铁客运量234.7万，武汉地铁客运量209.03万，成都地铁客运量182.62万，西安地铁客运量109.42万。,2016/10/9,10,8,周六，上班,919.7,357.56,1079.18, ,209.03,696.8, , ,234.7,182.62,109.42, 
更正 #地铁客流排行榜# 10月7日（周五，假），广州地铁客运量645万，上海地铁客运量643.2万，北京地铁路网客运量615.11万，深圳地铁路网客运量291.16万，武汉地铁客运量209.18万，南京地铁客运量203.7万，成都地铁客运量168.42万，西安地铁客运量123.64万。,2016/10/9,10,7,周五，假,643.2,291.16,615.11, ,209.18,645, , ,203.7,168.42,123.64, 
#地铁客流排行榜# 10月7日（周五，假），上海地铁客运量645万，广州地铁客运量643.2万，北京地铁路网客运量615.11万，深圳地铁路网客运量291.16万，武汉地铁客运量209.18万，南京地铁客运量203.7万，成都地铁客运量168.42万，西安地铁客运量123.64万。,2016/10/8,10,7,周五，假,645,291.16,615.11, ,209.18,643.2, , ,203.7,168.42,123.64, 
#地铁客流排行榜# 10月6日（周四，假），北京地铁路网客运量670万，上海地铁客运量688.4万，广州地铁客运量638.6万，深圳地铁路网客运量277.52万，南京地铁客运量221.8万，武汉地铁客运量207.5万，成都地铁客运量174.37万，西安地铁客运量124.83万。,2016/10/7,10,6,周四，假,688.4,277.52,670, ,207.5,638.6, , ,221.8,174.37,124.83, 
#地铁客流排行榜# 10月5日（周三，假），北京地铁路网客运量723.72万，上海地铁客运量697.7万，广州地铁客运量622.7万，深圳地铁路网客运量282.5万，南京地铁客运量226.7万，武汉地铁客运量198.29万，成都地铁客运量170.03万，西安地铁客运量108.38万。,2016/10/6,10,5,周三，假,697.7,282.5,723.72, ,198.29,622.7, , ,226.7,170.03,108.38, 
#地铁客流排行榜# 10月4日（周二，假），上海地铁客运量714.7万，广州地铁客运量639万，北京地铁路网638.37万，深圳地铁路网客运量288.61万，南京地铁客运量231.6万，武汉地铁客运量197.12万，成都地铁客运量172.26万，西安地铁客运量114.91万。,2016/10/5,10,4,周二，假,714.7,288.61,638.37, ,197.12,639, , ,231.6,172.26,114.91, 
#地铁客流排行榜# 10月3日（周一，假），北京地铁路网客运量754.97万，上海地铁客运量684.7万，广州地铁客运量680.1万，深圳地铁路网客运量330.45万，南京地铁客运量232.1万，武汉地铁客运量204.18万，成都地铁客运量174.82万，西安地铁客运量118.7万。,2016/10/4,10,3,周一，假,684.7,330.45,754.97, ,204.18,680.1, , ,232.1,174.82,118.7, 
#地铁客流排行榜# 10月2日（周日），北京地铁路网客运量770.8万，广州地铁客运量753.1万，上海地铁客运量745.6万，深圳地铁路网客运量377.51万，南京地铁客运量226.1万，武汉地铁客运量194.17万，成都地铁客运量178.27万，西安地铁客运量120.6万。,2016/10/3,10,2,周日,745.6,377.51,770.8, ,194.17,753.1, , ,226.1,178.27,120.6, 
#地铁客流排行榜# 10月1日（周六），北京地铁路网客运量839.07万，广州地铁客运量822.2万，上海地铁客运量748.6万，深圳地铁路网客运量369.97万，武汉地铁客运量229.87万，南京地铁客运量224.7万，成都地铁客运量193.44万，西安地铁客运量134.05万。,2016/10/2,10,1,周六,748.6,369.97,839.07, ,229.87,822.2, , ,224.7,193.44,134.05, 
#地铁客流排行榜# 10月1日（周六），北京地铁路网客运量839.07万，广州地铁客运量822.2万，上海地铁客运量748.6万，深圳地铁路网客运量369.97万，南京地铁客运量224.7万，武汉地铁客运量229.87万，成都地铁客运量193.44万，西安地铁客运量134.05万。,2016/10/2,10,1,周六,748.6,369.97,839.07, ,229.87,822.2, , ,224.7,193.44,134.05, 
